"","pmid","year","journal","articletitle","abstract"
"1","33083543","2020","Learning health systems","Data-driven discovery of probable Alzheimer's disease and related dementia subphenotypes using electronic health records.","We sought to assess longitudinal electronic health records (EHRs) using machine learning (ML) methods to computationally derive probable Alzheimer's Disease (AD) and related dementia subphenotypes. A retrospective analysis of EHR data from a cohort of 7587 patients seen at a large, multi-specialty urban academic medical center in New York was conducted. Subphenotypes were derived using hierarchical clustering from 792 probable AD patients (cases) who had received at least one diagnosis of AD using their clinical data. The other 6795 patients, labeled as controls, were matched on age and gender with the cases and randomly selected in the ratio of 9:1. Prediction models with multiple ML algorithms were trained on this cohort using 5-fold cross-validation. XGBoost was used to rank the variable importance. Four subphenotypes were computationally derived. Subphenotype A (n = 273; 28.2%) had more patients with cardiovascular diseases; subphenotype B (n = 221; 27.9%) had more patients with mental health illnesses, such as depression and anxiety; patients in subphenotype C (n = 183; 23.1%) were overall older (mean (SD) age, 79.5 (5.4) years) and had the most comorbidities including diabetes, cardiovascular diseases, and mental health disorders; and subphenotype D (n = 115; 14.5%) included patients who took anti-dementia drugs and had sensory problems, such as deafness and hearing impairment.The 0-year prediction model for AD risk achieved an area under the receiver operating curve (AUC) of 0.764 (SD: 0.02); the 6-month model, 0.751 (SD: 0.02); the 1-year model, 0.752 (SD: 0.02); the 2-year model, 0.749 (SD: 0.03); and the 3-year model, 0.735 (SD: 0.03), respectively. Based on variable importance, the top-ranked comorbidities included depression, stroke/transient ischemic attack, hypertension, anxiety, mobility impairments, and atrial fibrillation. The top-ranked medications included anti-dementia drugs, antipsychotics, antiepileptics, and antidepressants. Four subphenotypes were computationally derived that correlated with cardiovascular diseases and mental health illnesses. ML algorithms based on patient demographics, diagnosis, and treatment demonstrated promising results in predicting the risk of developing AD at different time points across an individual's lifespan."
"2","38464316","2024","medRxiv : the preprint server for health sciences","Association of Long-Term Blood Pressure Variability with Cerebral Amyloid Angiopathy-related Brain Injury and Cognitive Decline.","Long-term systolic blood pressure variability (BPV) has been proposed as a novel risk factor for dementia, but the underlying mechanisms are largely unknown. We aimed to investigate the association between long-term blood pressure variability (BPV), brain injury, and cognitive decline in patients with mild cognitive symptoms and cerebral amyloid angiopathy (CAA), a well-characterized small-vessel disease that causes cognitive decline in older adults. Using a prospective memory clinic cohort, we enrolled 102 participants, of whom 52 with probable CAA. All underwent a 3-tesla research MRI at baseline and annual neuropsychological evaluation over 2 years, for which standardized z-scores for four cognitive domains were calculated. BPV was assessed using a coefficient of variation derived from serial outpatient BP measurements (median 12) over five years. We measured the peak width of skeletonized mean diffusivity (PSMD) as a marker of white matter integrity, and other neuroimaging markers of CAA, including lacunes and cortical cerebral microinfarcts. Using regression models, we evaluated the association of BPV with microstructural brain injury and whether CAA modified this association. We also examined the association of BPV with subsequent cognitive decline. Systolic BPV was dose-dependently associated with PSMD (estimate=0.22, 95% CI: 0.06, 0.39, p=0.010), independent of age, sex, mean BP, common vascular risk factors, brain atrophy, and CAA severity. The presence of probable CAA strengthened the association between BPV and PSMD (estimate=9.33, 95% CI: 1.32, 17.34, p for interaction = 0.023). Higher BPV correlated with greater ischemic injury (lobar lacunes and cortical cerebral microinfarcts) and a decline in global cognition and processing speed (estimate=-0.30, 95% CI: -0.55, -0.04, p=0.022). Long-term BPV has a dose-dependent association with alterations in white matter integrity, lobar lacunes, and cortical cerebral microinfarcts, and predicts cognitive decline. Controlling BPV is a potential strategic approach to prevent cognitive decline, especially in early-stage CAA."
"3","38370526","2024","Frontiers in neurology","Machine learning-based prediction of mild cognitive impairment among individuals with normal cognitive function.","Previous studies mainly focused on risk factors in patients with mild cognitive impairment (MCI) or dementia. The aim of the study was to provide basis for preventing MCI in cognitive normal populations. The data came from a longitudinal retrospective study involving individuals with brain magnetic resonance imaging scans, clinical visits, and cognitive assessment with interval of more than 3 years. Multiple machine-learning technologies, including random forest, support vector machine, logistic regression, eXtreme Gradient Boosting, and naïve Bayes, were used to establish a prediction model of a future risk of MCI through a combination of clinical and image variables. Among these machine learning models; eXtreme Gradient Boosting (XGB) was the best classification model. The classification accuracy of clinical variables was 65.90%, of image variables was 79.54%, of a combination of clinical and image variables was 94.32%. The best result of the combination was an accuracy of 94.32%, a precision of 96.21%, and a recall of 93.08%. XGB with a combination of clinical and image variables had a potential prospect for the risk prediction of MCI. From clinical perspective, the degree of white matter hyperintensity (WMH), especially in the frontal lobe, and the control of systolic blood pressure (SBP) were the most important risk factor for the development of MCI. The best MCI classification results came from the XGB model with a combination of both clinical and imaging variables. The degree of WMH in the frontal lobe and SBP control were the most important variables in predicting MCI."
"4","38293179","2024","medRxiv : the preprint server for health sciences","Beyond Hypertension: Examining Variable Blood Pressure's Role in Cognition and Brain Structure.","Hypertension is a known risk factor for cognitive decline and structural brain changes in aging and dementia. In addition to high blood pressure (BP), individuals may also experience variable BP, meaning that their BP fluctuates between normal and high. It is currently unclear what the effects of variable BP are on cognition and brain structure. To investigate the influence of BP on cognition and brain structure in older adults. This longitudinal cohort study included data from the Rush Alzheimer's Disease Center Research Resource Sharing Hub (RUSH) and the Alzheimer's Disease Neuroimaging Initiative (ADNI). Participants from the two studies were included if they had BP measurements and either cognitive scores or MRI scans from at least one visit. Longitudinal gray matter, white matter, white matter hyperintensity volumes, postmortem neuropathology information, as well as cognitive test scores. A total of 4606 participants (3429 females, mean age = 76.8) with 32776 follow-ups (mean = 7 years) from RUSH and 2114 participants (1132 females, mean age = 73.3) with 9827 follow-ups (mean = 3 years) from ADNI were included in this study. Participants were divided into one of three groups: 1) normal BP, high BP, or variable BP. Older adults with variable BP exhibited the highest rate of cognitive decline followed by high BP and then normal BP. Increased GM volume loss and WMH burden was also observed in variable BP compared to high and normal BP. With respect to post-mortem neuropathology, both variable and high BP had increased severities compared to normal BP. Importantly, results were consistent across the RUSH and ADNI participants, supporting the generalizability of the findings. Limited research has examined the long-term impact of variable BP on cognition and brain structure. These findings show the importance that both high and variable BP have on cognitive decline and structural brain changes. Structural damages caused by variable BP may reduce resilience to future dementia-related pathology and increased risk of dementia. Improved treatment and management of variable BP may help reduce cognitive decline in the older adult population."
"5","38225967","2023","Journal of Alzheimer's disease reports","Prevalence of Mild Cognitive Impairment in Southern Regions of Colombia.","Recent reports suggest that by 2050 there will be an increase of around 310% of cases affected by dementia in Latin American countries. A previous study in a Southern region reported one of the highest prevalences of dementia in Latin America. To investigate the prevalence of mild cognitive impairment associated with low education, rurality, and demographic characteristics. A cross-sectional study recruited a community-dwelling sample of 823 adults from rural and urban areas of two Southern provinces of Colombia from 2020-2022. Participants were assessed with a neuropsychological protocol validated in Colombia. To obtain general and region-specific prevalence rates, age, sex, schooling, and socioeconomic level were considered and controlled for. Most of the participants reported low education and socioeconomic level, the participation of women was higher. It was determined that the prevalence of mild cognitive impairment (MCI) was 53.6%, with 56.6% in the province of Caquetá followed by 51.9% in the province of Huila. The amnestic MCI represented 42.6%, the amnestic multi-domain was 39%, the non-amnestic 16.55%, and the non-amnestic multi-domain 1.81%. Our participants reported comorbidities such as diabetes and hypertension. We also observed a relationship between exposure to pesticides and MCI. We observed one of the highest prevalences of MCI in Latin America reported to date. Variables such as age, gender, and education proved risk factors for MCI in the explored regions. Our findings are very much in line with recent studies that highlight the influence of non-canonical risk factors of dementia in underrepresented countries from Latin America."
"6","38169646","2023","Frontiers in cardiovascular medicine","Propensity score analysis of red cell distribution width to serum calcium ratio in acute myocardial infarction as a predictor of in-hospital mortality.","Red cell distribution width (RDW) and serum calcium (Ca) levels are predictors of in-hospital mortality in acute myocardial infarction (AMI) patients. However, their sensitivity and specificity are limited. Therefore, this study aimed to determine whether the RDW to Ca ratio (RCR) acquired on admission can be used to predict the in-hospital mortality of AMI patients. This retrospective cohort study extracted clinical information from the Medical Information Market for Intensive IV (MIMIC-IV) database on 2,910 AMI patients enrolled via propensity score matching (PSM). Prognostic values were assessed using a multivariate logistic model and three PSM approaches. Analysis was performed based on stratified variables and interactions among sex, age, ethnicity, anemia, renal disease, percutaneous transluminal coronary intervention (PCI), coronary artery bypass grafting (CABG), atrial fibrillation, congestive heart failure, dementia, diabetes, paraplegia, hypertension, cerebrovascular disease, and Sequential Organ Failure Assessment (SOFA) score. A total of 4,105 ICU-admitted AMI patients were analyzed. The optimal cut-off value of the RCR for in-hospital mortality was 1.685. The PSM was performed to identify 1,455 pairs (2,910) of score-matched patients, with balanced differences exhibited for nearly all variables.The patients' median age was 72 years (range, 63-82 years) and 60.9% were male. The risk of in-hospital mortality incidence increased with increasing RCR levels. After adjusting for confounders, the risk ratio for the incidence of in-hospital mortality for high RCR was 1.75 [95% confidence interval (CI): 1.60-1.94, P = 0.0113] compared to that associated with low RCR in the PSM cohort. High RCR was also substantially implicated in in-hospital mortality incidence in the weighted cohorts [odds ratio (OR) = 1.76, 95% CI: 1.62-1.94, P = 0.0129]. Assessment of RCR in three groups showed that patients with high RCR also had a higher risk of in-hospital mortality (OR = 3.04; 95% CI, 2.22-4.16; P < 0.0001) than in patients with RCR in the adjusted model. In the sensitivity analysis, both the original and weighted groups showed similar results. The RCR at admission may be useful for predicting in-hospital mortality in ICU-admitted AMI patients."
"7","38035273","2023","Frontiers in aging neuroscience","APOE4 allele-specific associations between diet, multimodal biomarkers, and cognition among Puerto Rican adults in Massachusetts.","Apolipoprotein E (APOE) is the strongest genetic risk factor for sporadic Alzheimer's Disease (AD), and the ε4 allele (APOE4) may interact with lifestyle factors that relate to brain structural changes, underlying the increased risk of AD. However, the exact role of APOE4 in mediating interactions between the peripheral circulatory system and the central nervous system, and how it may link to brain and cognitive aging requires further elucidation. In this analysis, we investigated the association between APOE4 carrier status and multimodal biomarkers (diet, blood markers, clinical diagnosis, brain structure, and cognition) in the context of gene-environment interactions. Participants were older adults from a longitudinal observational study, the Boston Puerto Rican Health Study (BPRHS), who self-identified as of Puerto Rican descent. Demographics, APOE genotype, diet, blood, and clinical data were collected at baseline and at approximately 12th year, with the addition of multimodal brain magnetic resonance imaging (MRI) (T1-weighted and diffusion) and cognitive testing acquired at 12-year. Measures were compared between APOE4 carriers and non-carriers, and associations between multimodal variables were examined using correlation and multivariate network analyses within each group. A total of 156 BPRHS participants (mean age at imaging = 68 years, 77% female, mean follow-up 12.7 years) with complete multimodal data were included in the current analysis. APOE4 carriers (n = 43) showed reduced medial temporal lobe (MTL) white matter (WM) microstructural integrity and lower mini-mental state examination (MMSE) score than non-carriers (n = 113). This pattern was consistent with an independent sample from the Alzheimer's Disease Neuroimaging Initiative (ADNI) of n = 283 non-Hispanic White adults without dementia (mean age = 75, 40% female). Within BPRHS, carriers showed distinct connectivity patterns between multimodal biomarkers, characterized by stronger direct network connections between baseline diet/blood markers with 12-year blood/clinical measures, and between blood markers (especially lipids and cytokines) and WM. Cardiovascular burden (i.e., hypertension and diabetes status) was associated with WM integrity for both carriers and non-carriers. APOE4 carrier status affects interactions between dietary factors, multimodal blood biomarkers, and MTL WM integrity across ~12 years of follow-up, which may reflect increased peripheral-central systems crosstalk following blood-brain barrier breakdown in carriers."
"8","38472452","2024","Scientific reports","Insights from Turkey's big data: unraveling the preventability, pathogenesis, and risk management of Alzheimer's disease (AD).","Extensive research into dementia has more recently honed in on several key areas. These areas include the advancement of techniques such as the accumulation of amyloid-β and tau proteins, the monitoring of cerebral hypometabolism rates etc. The primary objective of this study is to explore the intricate interplay between Alzheimer's disease (AD)-other dementias (D) and various chronic illnesses in terms of time, intensity, and connectivity. In this context, we retrospectively examined data of 149,786 individuals aged 65 and above who received diagnoses of AD and D in the year 2020. At first, logistic regression (LR) analysis has been made with ""sex"", ""age"" and ""foreigner"" (citizenship status) independent variables for AD and D. The LR models shows that while ""sex"" and ""age"" variables have a small rate on the risk of developing AD/D, it is detected that being a foreigner increase the risk of AD and D as 69.8% and 88.5% respectively. Besides, the LR models have middle-level success prediction rate for both of the two dependent variables. Additionally, we used the parallel coordinates graphs method within the R Studio to visualize their relationships and connections. The findings of this investigation strongly suggest that AD/D don't stand as isolated conditions, but rather stem from intricate interactions and progressive processes involving diverse chronic diseases over time. Notably, ailments including hypertension, coronary artery disease, diabetes, hyperlipidemia, and psychological disorders, contribute substantially to the emergence of both AD and D. This study highlights that the fight against AD/D can only be possible with next-generation prophylactic interventions that can predict and manage risks. Such an approach holds the potential to potentially lower AD and dementia to levels that are amenable to treatment."
"9","38443972","2024","BMC endocrine disorders","Evaluation of the prevalence of cardiometabolic disorders (diabetes, hypertension, and hyperlipidemia) diagnosed, undiagnosed, treated, and treatment goal in the elderly: Bushehr Elderly Health Program (BEH).","As the population ages, the global burden of cardiometabolic disorders will increase. This study aimed to investigate the prevalence of cardiometabolic disorders (diabetes, hypertension, and hyperlipidemia) in elderly and to evaluate the effects of various variables including age, sex, education, marital status, smoking, income, physical activity, dementia and depressed mood on untreated cardiometabolic disorders. This was a cross sectional study conducted in Bushehr Elderly Health Program. A total 2381 participants were included. Medical data were collected by trained interviewers. The mean age of the study participants was 69.34 years. Proportions of diabetes, hypertension, hyperlipidemia and hypercholesterolemia were 43.25%, 75.71%, 64.74% and 35.31% respectively. Untreated diabetes prevalence was higher for males (OR = 1.60, 95%CI = 1.20-2.15), older adults (OR = 1.02, 95%CI = 1.00-1.05), and pre-frail status (OR = 0.69, 95%CI = 0.52-0.92). Males (OR = 2.16, 95%CI = 1.64-2.84) and current smokers (OR = 1.42, 95%CI = 1.05-1.93), in contrast to married participants (OR = 0.25, 95%CI = 0.08-0.78), people with higher education levels (OR = 0.51, 95%CI = 0.29-0.89) and dementia (OR = 0.78, 95%CI = 0.61-1.00) were more likely to have untreated HTN. Untreated dyslipidemia is more common in smokers (OR = 1.78, 95%CI = 1.19-2.66) and males (OR = 1.66, 95%CI = 1.21-2.27), while untreated hypercholesteremia is more common in males (OR = 3.20, 95%CI = 1.53-6.69) and is reported lower in people with dementia (OR = 0.53, 95%CI = 0.28-1.01)."
"10","38151275","2023","BMJ open","Defining anthropometric thresholds (mid-arm circumference and calf circumference) in older adults residing in the community: a cross-sectional analysis using data from the population representative Longitudinal Aging Study in India (LASI DAD).","To identify factors associated with malnutrition (undernutrition and overnutrition) and determine appropriate cut-off values for mid-arm circumference (MAC) and calf circumference (CC) among community-dwelling Indian older adults. Data from the first wave of harmonised diagnostic assessment of dementia for Longitudinal Ageing Study in India (LASI-DAD) were used. Various sociodemographic factors, comorbidities, geriatric syndromes, childhood financial and health status were included. Anthropometric measurements included body mass index (BMI), MAC and CC. Nationally representative cohort study including 36 Indian states and union territories. 4096 older adults aged >60 years from LASI DAD. The outcome variable was BMI, categorised as low (<18.5 kg/m2), normal (18.5-22.9 kg/m2) and high (>23 kg/m2). The cut-off values of MAC and CC were derived using ROC curve with BMI as the gold standard. 902 (weighted percentage 20.55%) had low BMI, 1742 (44.25%) had high BMI. Undernutrition was associated with age, wealth-quintile and impaired cognition, while overnutrition was associated with higher education, urban living and comorbidities such as hypertension, diabetes and chronic heart disease. For CC, the optimal lower and upper cut-offs for males were 28.1 cm and >31.5 cm, respectively, while for females, the corresponding values were 26 cm and >29 cm. Similarly, the optimal lower and upper cut-offs for MAC in males were 23.9 cm and >26.9 cm, and for females, they were 22.5 cm and >25 cm. Our study identifies a high BMI prevalence, especially among females, individuals with higher education, urban residents and those with comorbidities. We establish gender-specific MAC and CC cut-off values with significant implications for healthcare, policy and research. Tailored interventions can address undernutrition and overnutrition in older adults, enhancing standardised nutritional assessment and well-being."
