"","pmid","variable_name","variable","value","annotators","var_freq","precision"
"1","35102219","BLOOD PRESSURE","CONSTRUCT","MEASUREMENT OF THE FORCE OF BLOOD AGAINST THE WALLS OF ARTERIES",10,1,0.1
"2","35102219","DEMENTIA","CONSTRUCT","NEUROLOGICAL DISORDER CHARACTERIZED BY COGNITIVE DECLINE",10,1,0.1
"3","33839636","AGE","CONSTRUCT",NA,10,7,0.7
"4","33839636","GENDER","CONSTRUCT",NA,10,6,0.6
"5","33839636","EDUCATION","CONSTRUCT",NA,10,4,0.4
"6","33839636","HYPERTENSION","CONSTRUCT",NA,10,9,0.9
"7","33839636","DIABETES MELLITUS","CONSTRUCT",NA,10,4,0.4
"8","33839636","ALCOHOLISM","CONSTRUCT",NA,10,4,0.4
"9","33839636","OBESITY","CONSTRUCT",NA,10,4,0.4
"10","33839636","ETHNICITY","CONSTRUCT",NA,10,5,0.5
"11","33839636","VITAMIN D DEFICIENCY","CONSTRUCT",NA,10,2,0.2
"12","33839636","RISK OF HEART FAILURE","CONSTRUCT",NA,10,4,0.4
"13","34611033","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,9,0.9
"14","34611033","GENDER","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,9,0.9
"15","34611033","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,9,0.9
"16","34611033","DIABETES MELLITUS","CONSTRUCT","METABOLIC DISORDER CHARACTERIZED BY HIGH BLOOD SUGAR LEVELS",10,8,0.8
"17","34611033","ALCOHOLISM","CONSTRUCT","ADDICTION TO THE CONSUMPTION OF ALCOHOLIC BEVERAGES",10,7,0.7
"18","34611033","OBESITY","CONSTRUCT","EXCESS BODY FAT THAT PRESENTS A RISK TO HEALTH",10,8,0.8
"19","34611033","ETHNICITY","CONSTRUCT","SELF-IDENTIFIED GROUP BASED ON SHARED CULTURAL TRAITS OR NATIONAL ORIGIN",10,8,0.8
"20","34611033","RISK OF HEART FAILURE","CONSTRUCT","LIKELIHOOD OF DEVELOPING HEART FAILURE",10,8,0.8
"21","33126696","DEPRESSION","CONSTRUCT","MOOD DISORDER CHARACTERIZED BY PERSISTENT FEELINGS OF SADNESS AND LOSS OF INTEREST",10,4,0.4
"22","33126696","DYSLIPIDEMIA","CONSTRUCT","ABNORMAL LEVELS OF LIPIDS IN THE BLOOD",10,2,0.2
"23","33126696","TYPE 2 DIABETES MELLITUS","CONSTRUCT","METABOLIC DISORDER CHARACTERIZED BY HIGH BLOOD SUGAR LEVELS",10,8,0.8
"24","33126696","HYPERTENSION","CONSTRUCT","CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,8,0.8
"25","36092174","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,10,1
"26","36092174","GENDER","CONSTRUCT","BIOLOGICAL SEX OF THE INDIVIDUAL",10,10,1
"27","36092174","ETHNICITY","CONSTRUCT","SELF-IDENTIFIED GROUP BASED ON SHARED CULTURAL TRAITS OR NATIONAL ORIGIN",10,10,1
"28","36092174","WEIGHT AND HEIGHT","CONSTRUCT","MEASUREMENTS USED TO CALCULATE BODY MASS INDEX",10,1,0.1
"29","36092174","PRESENCE OF COMORBIDITIES","CONSTRUCT","EXISTENCE OF ADDITIONAL MEDICAL CONDITIONS",10,1,0.1
"30","36092174","TRAUMA MECHANISM","CONSTRUCT","THE CAUSE OR MECHANISM OF THE TRAUMA LEADING TO FRACTURE",10,1,0.1
"31","36092174","ANATOMICAL LOCATION","CONSTRUCT","SPECIFIC SITE OR PART OF THE BODY WHERE THE FRACTURE OCCURRED",10,1,0.1
"32","36092174","TREATMENT","CONSTRUCT","THERAPEUTIC INTERVENTIONS PROVIDED FOR THE FRACTURE",10,1,0.1
"33","36092174","MINI NUTRITIONAL ASSESSMENT","CONSTRUCT","EVALUATION TOOL FOR ASSESSING THE NUTRITIONAL STATUS OF PATIENTS",10,1,0.1
"34","33798213","BLOOD PRESSURE VARIABILITY","CONSTRUCT","VARIABILITY IN SYSTOLIC BLOOD PRESSURE READINGS ACROSS CLINIC VISITS",10,1,0.1
"35","33798213","HYPERTENSION","CONSTRUCT","MEDICAL CONDITION CHARACTERIZED BY HIGH BLOOD PRESSURE",10,1,0.1
"36","33798213","AGE","CONSTRUCT","CHRONOLOGICAL MEASURE OF TIME SINCE BIRTH",10,8,0.8
"37","33798213","COMORBIDITIES","CONSTRUCT","PRESENCE OF ADDITIONAL MEDICAL CONDITIONS ALONGSIDE HYPERTENSION",10,1,0.1
"38","33798213","ANTIHYPERTENSIVE THERAPIES","CONSTRUCT","TYPES OF MEDICATIONS PRESCRIBED FOR HYPERTENSION MANAGEMENT",10,1,0.1
"39","31444142","BLOOD PRESSURE","CONSTRUCT","MEASURE OF PRESSURE EXERTED BY CIRCULATING BLOOD UPON THE WALLS OF BLOOD VESSELS",10,1,0.1
"40","31444142","WHITE MATTER HYPERINTENSITY VOLUME","CONSTRUCT","VOLUME OF HYPERINTENSE LESIONS IN WHITE MATTER OBSERVED ON MRI",10,1,0.1
