"","pmid","kappa","z","p_value","annotators","type","token","min_vars","max_vars","mean_vars","rate_consensus","n_consensus_vars"
"1","29574441",-0.082,-12.3,0,10,497,590,40,100,66.9,0,0
"2","30180830",0.034,5.4,0,10,586,1000,40,130,106.6,0.135,21
"3","30368247",-0.057,-7.9,0,10,427,520,30,100,58.8,0,0
"4","31444142",-0.033,-5.6,0,10,612,1010,60,180,115.9,0,0
"5","31617930",0.118,22.6,0,10,816,1670,100,400,210.4,0.257,60
"6","33067992",0.064,11.3,0,10,694,1460,10,290,204.4,0.249,60
"7","33126696",0.222,19.6,0,10,173,370,10,40,39.2,0.482,24
"8","33655975",0.061,7,0,10,294,540,50,70,54.8,0.158,13
"9","33767305",-0.047,-7,0,10,501,660,10,160,95.2,0,0
"10","33798213",0.027,3.8,0.00017,10,435,650,10,90,73.7,0.147,13
"11","33839636",0.102,17.3,0,10,640,1260,30,330,179.5,0.173,30
"12","34176293",0.04,4.5,1e-05,10,275,460,10,70,56.1,0.149,9
"13","34611033",0.488,45.1,0,10,190,770,40,90,79.4,0.858,80
"14","34872609",0.552,55.6,0,10,226,900,90,90,90,0.736,71
"15","35102219",0.115,10.3,0,10,179,550,20,100,68.2,0.267,20
"16","35533660",0.283,41.2,0,10,472,1080,80,130,110.7,0.472,62
"17","35897033",0.101,13.4,0,10,390,800,70,90,80.8,0.215,24
"18","36092174",0.3,41.5,0,10,427,960,70,120,97.9,0.455,53
"19","36265125",0.223,35,0,10,545,1140,10,140,125.6,0.435,64
"20","36389342",0.01,1.4,0.17276,10,393,580,40,90,61.4,0.073,5
"21","36699985",0.421,42.3,0,10,224,820,60,100,84.4,0.721,70
"22","37079031",0.083,12.5,0,10,509,880,70,110,90.2,0.218,27
"23","37203319",0.304,43.1,0,10,448,1010,40,120,105.4,0.452,52
"24","37441712",0.329,29.7,0,10,181,690,10,90,75.8,0.751,70
"25","37448423",0.511,40.6,0,10,140,620,50,90,65.5,0.726,50
"26","37698858",0.098,11.3,0,10,297,510,30,90,55.1,0.22,15
"27","37711969",0.156,16.8,0,10,256,450,30,70,47.8,0.318,18
"28","37830725",0.003,0.4,0.71645,10,451,680,40,120,74.7,0.123,13
"29","38229871",0.142,22.6,0,10,563,990,60,120,101.3,0.336,45
"30","38443972",0.287,35.2,0,10,335,1020,50,130,109.4,0.583,80
