"","pmid","annotator_id","characteristic","class","explanation","categories","counts","percentages"
"1","35102219","OBG9162","Age","Demographic","Age distribution of the study participants.","Older Adults","16,591","100%"
"2","35102219","OBG9162","Geographic Distribution","Geographic","Distribution of participants by geography.","Territory-wide","N/A","N/A"
"3","35102219","OBG9162","Prevalence of Dementia","Health-Related","Prevalence of dementia among study participants.","Developed Dementia","1429","N/A"
"4","35102219","OBG9162","Prevalence of Hypertension","Health-Related","Prevalence of hypertension among study participants.","With Hypertension","N/A","N/A"
"5","35102219","OBG9162","Prevalence of Hypotension","Health-Related","Prevalence of hypotension among study participants.","N/A","N/A","N/A"
"6","35102219","OBG9162","Prevalence of Other Health Problems","Health-Related","Prevalence of other health problems among study participants.","N/A","N/A","N/A"
"7","35102219","OBG9162","BP Variability","Other","Variability in blood pressure measurements among participants.","N/A","N/A","N/A"
"8","35102219","OBG9162","Behaviors","Other","Description of health behaviors observed in the study.","N/A","N/A","N/A"
"9","35102219","OBG9162","Employment Status","Other","Employment status of the participants.","N/A","N/A","N/A"
"10","33839636","SMA3535","Age","Demographic","The distribution of age groups among the study participants.","<55",NA,NA
"11","33839636","SMA3535","Age","Demographic","The distribution of age groups among the study participants.","55-64",NA,NA
"12","33839636","SMA3535","Age","Demographic","The distribution of age groups among the study participants.","65-74",NA,NA
"13","33839636","SMA3535","Age","Demographic","The distribution of age groups among the study participants.","75-84",NA,NA
"14","33839636","SMA3535","Age","Demographic","The distribution of age groups among the study participants.","85+",NA,NA
"15","33839636","SMA3535","Gender","Demographic","The distribution of male and female participants.","Male","33.6","33.6%"
"16","33839636","SMA3535","Gender","Demographic","The distribution of male and female participants.","Female","66.4","66.4%"
"17","33839636","SMA3535","Institutionalization Status","Demographic","The proportion of institutionalized and non-institutionalized participants.","Institutionalized","43.4","43.4%"
"18","33839636","SMA3535","Institutionalization Status","Demographic","The proportion of institutionalized and non-institutionalized participants.","Not Institutionalized","56.6","56.6%"
"19","33839636","SMA3535","Main Medical Antecedents","Health-Related","The distribution of main medical antecedents among participants.","Neurological Pathology",NA,NA
"20","33839636","SMA3535","Main Medical Antecedents","Health-Related","The distribution of main medical antecedents among participants.","Hypertension",NA,NA
"21","33839636","SMA3535","Main Medical Antecedents","Health-Related","The distribution of main medical antecedents among participants.","Rheumatologic Diseases",NA,NA
"22","33839636","SMA3535","Main Medical Antecedents","Health-Related","The distribution of main medical antecedents among participants.","Other",NA,NA
