"","pmid","field","value","annotators","var_freq","precision"
"1","35102219","STUDY DESIGN","TERRITORY-WIDE POPULATION-BASED LONGITUDINAL STUDY",10,2,0.2
"2","35102219","POPULATION SIZE","16,591",10,10,1
"3","35102219","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,8,0.8
"4","35102219","MAJOR RESULTS","LOSS OF LONGITUDINAL INCREASE IN SYSTOLIC BP IN LATE LIFE WAS INDEPENDENTLY ASSOCIATED WITH HIGHER RISK OF INCIDENT DEMENTIA AT YEARS 4 TO 6.",10,3,0.3
"5","35102219","EFFECT SIZE","1.22, 1.24",10,8,0.8
"6","35102219","LOWER CONFIDENCE INTERVAL","1.02, 1.03",10,8,0.8
"7","35102219","UPPER CONFIDENCE INTERVAL","1.45, 1.50",10,8,0.8
"8","35102219","P-VALUE","0.03, 0.02",10,8,0.8
"9","33839636","STUDY DESIGN","PROSPECTIVE DESCRIPTIVE STUDY",10,10,1
"10","33839636","POPULATION SIZE","176",10,3,0.3
"11","33839636","COVARIATE DEFINITIONS IN MAINTEXT","N",10,8,0.8
"12","33839636","MAJOR RESULTS","THE STUDY HIGHLIGHTED THE ROLE OF NEUROLOGICAL DISEASES, HYPERTENSION, POLYPHARMACY, AND URINARY AND RESPIRATORY INFECTIONS AS TREATABLE AND/OR PREVENTABLE FACTORS OF DELIRIUM IN PRIMARY CARE PATIENTS IN THEIR SETTING.",10,1,0.1
"13","33839636","EFFECT SIZE","",10,2,0.2
"14","33839636","LOWER CONFIDENCE INTERVAL","",10,2,0.2
"15","33839636","UPPER CONFIDENCE INTERVAL","",10,2,0.2
"16","33839636","P-VALUE","",10,2,0.2
"17","34611033","STUDY DESIGN","PROSPECTIVE COHORT STUDY",10,7,0.7
"18","34611033","POPULATION SIZE","443",10,10,1
"19","34611033","COVARIATE DEFINITIONS IN MAINTEXT","N",10,4,0.4
"20","34611033","MAJOR RESULTS","MALE GENDER, STROKE SEVERITY, ADL ON FOLLOW-UP, AND MTLA ARE POTENTIAL PREDICTORS OF POOR PARTICIPATION AFTER ACUTE ISCHEMIC STROKE.",10,1,0.1
"21","34611033","EFFECT SIZE","N/A",10,4,0.4
"22","34611033","LOWER CONFIDENCE INTERVAL","N/A",10,4,0.4
"23","34611033","UPPER CONFIDENCE INTERVAL","N/A",10,4,0.4
"24","34611033","P-VALUE","N/A",10,4,0.4
"25","33126696","STUDY DESIGN","CASE-CONTROL STUDY",10,10,1
"26","33126696","POPULATION SIZE","221",10,10,1
"27","33126696","COVARIATE DEFINITIONS IN MAINTEXT","Y",10,10,1
"28","33126696","MAJOR RESULTS","DEPRESSION AND DIABETES MELLITUS WERE ASSOCIATED WITH INCREASED LIKELIHOOD OF DEVELOPING AD, WHILE TREATED DYSLIPIDEMIA WAS LINKED TO REDUCED RISK.",10,1,0.1
"29","33126696","EFFECT SIZE","0.54 - 15.6",10,1,0.1
"30","33126696","LOWER CONFIDENCE INTERVAL","VARIED BASED ON DIFFERENT VARIABLES STUDIED",10,1,0.1
"31","33126696","UPPER CONFIDENCE INTERVAL","VARIED BASED ON DIFFERENT VARIABLES STUDIED",10,1,0.1
"32","33126696","P-VALUE","<0.05",10,4,0.4
"33","36092174","STUDY DESIGN","RETROSPECTIVE STUDY",10,10,1
"34","36092174","POPULATION SIZE","NOT SPECIFIED",10,7,0.7
"35","36092174","COVARIATE DEFINITIONS IN MAINTEXT","N",10,8,0.8
"36","36092174","MAJOR RESULTS","MOST PATIENTS WERE WHITE WOMEN, WITH A MEAN AGE OF 80 YEARS AND AN AVERAGE BMI OF 23.55 KG/M2. ALMOST ALL PATIENTS SUFFERED THE FRACTURE AT HOME AND THE MOST COMMON COMORBIDITIES WERE SYSTEMIC ARTERIAL HYPERTENSION, DIABETES MELLITUS, AND ALZHEIMER'S DISEASE. MOST PATIENTS WERE CONSIDERED TO BE MALNOURISHED OR AT RISK OF MALNUTRITION.",10,2,0.2
