"","pmid","kappa","z","p_value","annotators","type","token","min_vars","max_vars","mean_vars","rate_consensus","n_consensus_vars"
"1","29574441",0.12,5.3,0,10,43,80,8,8,8,0.212,2
"2","30180830",0.334,12.5,0,10,31,80,8,8,8,0.654,7
"3","30368247",0.458,15.7,0,10,26,80,8,8,8,0.661,6
"4","31444142",0.076,4,7e-05,10,61,80,8,8,8,0.211,2
"5","31617930",0.296,11.9,0,10,36,80,8,8,8,0.451,4
"6","33067992",0.454,14.3,0,10,22,80,8,8,8,0.742,7
"7","33126696",0.306,12,0,10,34,80,8,8,8,0.38,3
"8","33655975",0.18,8.4,0,10,48,80,8,8,8,0.328,3
"9","33767305",0.219,8.4,0,10,33,80,8,8,8,0.523,6
"10","33798213",0.238,10,0,10,39,80,8,8,8,0.328,3
"11","33839636",0.182,7.6,0,10,39,80,8,8,8,0.315,3
"12","34176293",0.633,17,0,10,16,80,8,8,8,0.841,7
"13","34611033",0.154,6.5,0,10,39,80,8,8,8,0.289,3
"14","34872609",0.265,10.9,0,10,38,80,8,8,8,0.44,4
"15","35102219",0.359,12,0,10,25,80,8,8,8,0.624,6
"16","35533660",0.002,0.1,0.93433,10,44,80,8,8,8,0.096,1
"17","35897033",0.25,11.7,0,10,49,80,8,8,8,0.367,3
"18","36092174",0.283,10.6,0,10,31,76,4,8,7.8,0.647,7
"19","36265125",0.311,11.8,0,10,32,80,8,8,8,0.367,3
"20","36389342",0.318,11.7,0,10,30,80,8,8,8,0.38,3
"21","36699985",0.295,10.1,0,10,26,64,4,8,7,0.408,3
"22","37079031",0.086,3.5,0.00048,10,37,80,8,8,8,0.198,2
"23","37203319",0.551,16.9,0,10,21,80,8,8,8,0.789,7
"24","37441712",0.208,8.6,0,10,38,80,8,8,8,0.402,4
"25","37448423",0.395,11.6,0,10,19,80,8,8,8,0.572,5
"26","37698858",0.386,14.2,0,10,30,80,8,8,8,0.624,6
"27","37711969",0.193,8.1,0,10,39,80,8,8,8,0.328,3
"28","37830725",0.289,10.8,0,10,31,80,8,8,8,0.44,4
"29","38229871",0.154,6.8,0,10,43,80,8,8,8,0.25,2
"30","38443972",0.219,8.6,0,10,34,80,8,8,8,0.25,2
