"","pmid","variable_name","variable_type","annotators","var_freq","precision"
"1","35102219","BLOOD PRESSURE","OUTCOME",10,4,0.4
"2","35102219","LONGITUDINAL BLOOD PRESSURE TRAJECTORIES","EXPOSURE",10,4,0.4
"3","35102219","AGE","COVARIATE",10,8,0.8
"4","35102219","HYPERTENSION","COVARIATE",10,9,0.9
"5","35102219","HYPOTENSION","COVARIATE",10,10,1
"6","35102219","BLOOD PRESSURE VARIABILITY","COVARIATE",10,9,0.9
"7","35102219","OTHER HEALTH PROBLEMS","COVARIATE",10,4,0.4
"8","35102219","HEALTH BEHAVIORS","COVARIATE",10,5,0.5
"9","33839636","DELIRIUM","OUTCOME",10,10,1
"10","33839636","NEUROLOGICAL PATHOLOGY","COVARIATE",10,7,0.7
"11","33839636","HYPERTENSION","COVARIATE",10,9,0.9
"12","33839636","RHEUMATOLOGIC DISEASES","COVARIATE",10,9,0.9
"13","33839636","POLYPHARMACY","COVARIATE",10,9,0.9
"14","33839636","DIURETICS","COVARIATE",10,3,0.3
"15","33839636","BENZODIAZEPINES","COVARIATE",10,4,0.4
"16","33839636","RESPIRATORY INFECTIONS","COVARIATE",10,5,0.5
"17","33839636","URINARY INFECTIONS","COVARIATE",10,5,0.5
"18","33839636","DEMENTIA","COVARIATE",10,6,0.6
"19","34611033","ACUTE ISCHEMIC STROKE","OUTCOME",10,3,0.3
"20","34611033","MALE GENDER","COVARIATE",10,1,0.1
"21","34611033","AGE","COVARIATE",10,10,1
"22","34611033","NATIONAL INSTITUTES OF HEALTH STROKE SCALE SCORE ON ADMISSION","COVARIATE",10,2,0.2
"23","34611033","ACTIVITIES OF DAILY LIVING SCALE ON FOLLOW-UP","COVARIATE",10,1,0.1
"24","34611033","MEDIAL TEMPORAL LOBE ATROPHY","COVARIATE",10,6,0.6
"25","34611033","HYPERTENSION","COVARIATE",10,6,0.6
"26","34611033","ATRIAL FIBRILLATION","COVARIATE",10,6,0.6
"27","33126696","DEPRESSION","OUTCOME",10,2,0.2
"28","33126696","DEPRESSION","EXPOSURE",10,10,1
"29","33126696","DYSLIPIDEMIA","EXPOSURE",10,10,1
"30","33126696","TYPE 2 DIABETES MELLITUS","EXPOSURE",10,9,0.9
